Date,"Type (compostable, landfill, recyclable)",Total weight (pounds),Container weight (pounds),Net weight (pounds),Note
2/14/20 10:20 AM,landfill,0.806,0.000,0.806,
3/10/20 3:50 PM,landfill,6.134,1.620,4.514,
3/22/20 12:48 PM,landfill,0.954,0.000,0.954,
5/8/20 7:05 AM,landfill,5.272,1.620,3.652,
6/6/20 8:55 AM,landfill,5.772,1.620,4.152,
7/7/20 3:51 PM,landfill,4.916,1.620,3.296,
7/22/20 3:42 PM,landfill,4.454,1.620,2.834,
9/4/20 5:02 PM,landfill,5.714,1.620,4.094,
9/7/20 12:47 PM,landfill,1.602,0.000,1.602,
10/17/20 12:09 PM,landfill,5.252,1.620,3.632,
11/13/20 7:20 AM,landfill,4.746,1.620,3.126,
11/20/20 11:15 AM,landfill,2.236,1.620,0.616,
12/8/20 2:29 PM,landfill,3.464,1.620,1.844,
12/15/20 3:59 PM,landfill,2.524,1.620,0.904,
12/26/20 7:47 AM,landfill,2.918,1.620,1.298,
1/12/21 3:17 PM,landfill,2.344,1.620,0.724,
1/24/21 5:23 PM,landfill,4.336,1.620,2.716,
2/2/21 8:40 PM,landfill,2.788,1.620,1.168,
2/9/21 2:37 PM,landfill,1.972,1.620,0.352,
3/17/21 10:05 AM,landfill,4.454,1.620,2.834,
4/11/21 2:18 PM,landfill,3.786,1.620,2.166,
5/3/21 7:24 AM,landfill,4.614,1.620,2.994,
5/23/21 8:11 AM,landfill,4.152,1.620,2.532,
6/8/21 12:16 PM,landfill,3.434,1.620,1.814,
7/5/21 10:41 AM,landfill,4.622,1.620,3.002,
7/20/21 10:20 PM,landfill,50.000,0.000,50.000,Swamp cooler disposal
7/25/21 8:37 AM,landfill,4.080,1.620,2.460,
8/16/21 8:01 AM,landfill,4.342,1.620,2.722,
8/28/21 1:04 PM,landfill,3.412,1.620,1.792,
9/9/21 10:05 PM,landfill,3.842,1.620,2.222,
9/25/21 8:51 AM,landfill,3.548,1.620,1.928,
10/6/21 7:19 PM,landfill,3.342,1.620,1.722,
10/17/21 10:00 AM,landfill,96.000,0.000,96.000,Yokohama YK740 GTX
10/25/21 10:35 AM,landfill,5.340,1.620,3.720,
11/5/21 8:26 AM,landfill,3.184,1.620,1.564,
11/28/21 9:20 AM,landfill,3.888,1.620,2.268,
12/20/21 10:13 AM,landfill,3.592,1.620,1.972,
